name,asset,category,Pull,Fees,Open Interest,Perpetuals Volume,Revenue,Daily Active Users,New Users,Transactions,Perpetual Liquidations,Circulating Supply,Total Supply Native,Spot Volume,Spot Fees,90-Day ANN Volatility,Daily Token Trading Volume,Price,FDMC / Fees,FDMC / Revenue,Market Cap,Stablecoin Transfer Volume,Gross Emissions,Fully Diluted Market Cap,Enterprise Value,Net Asset Value,Latest Cash,Debt,FDMV / NAV,Stock Trading Volume,Stablecoin Supply (USD),Stablecoins Average DAUs,Stablecoin Average Transaction Value,Filtered Stablecoin Transactions,MC,CIRCULATING_SUPPLY_NATIVE,PRICE,24H_VOLUME_MC_RATIO,24H_VOLUME_FDMC_RATIO,ETHEREUM_FDMC_RATIO,FDMC,FDV,TOTAL_SUPPLY_NATIVE,TVL,FEES,REVENUE,MC_FEES_RATIO,FDMC_FEES_RATIO,DAU,DAU_BAM,FDMC_TVL_RATIO,TXNS,FDMC_REVENUE_RATIO,MC_REVENUE_RATIO,PASSIVE_REVENUE,FDMC_DAU_RATIO,STABLECOIN_TOTAL_SUPPLY,STABLECOIN_DAU,ARTEMIS_STABLECOIN_TRANSFER_VOLUME,P2P_STABLECOIN_TRANSFER_VOLUME,STABLECOIN_TRANSFER_VOLUME,ARTEMIS_STABLECOIN_DAU,P2P_STABLECOIN_DAU,FEES_NATIVE,CHAIN_TXNS,OUTSTANDING_SUPPLY_NATIVE,CHAIN_DAU,STABLECOIN_GROWTH,STABLECOIN_MC,STABLECOIN_DAILY_TXNS,DEDUPED_STABLECOIN_TRANSFER_VOLUME,FDMC_STABLECOIN_SUPPLY_RATIO,NEW_TWITTER_FOLLOWERS,TWITTER_FOLLOWERS,SPOT_VOLUME,ACTIVE_REVENUE,CHAIN_FEES,EARNINGS,CHAIN_SPOT_VOLUME,GROSS_EMISSIONS_NATIVE,PREMINE_UNLOCKS_NATIVE,EQ_EV,SPOT_TXNS,CHAIN_AVG_TXN_FEE,TOKEN_INCENTIVES,PERP_VOLUME,BURNS_NATIVE,SPOT_DAU,OPEN_INTEREST,BURNED_FEE_ALLOCATION,CHAIN_MAU,CHAIN_WAU,SPOT_FEES,NEW_USERS,LENDING_LOANS,NET_SUPPLY_CHANGE_NATIVE,TREASURY,TREASURY_FDMC_RATIO,TREASURY_MC_RATIO,VALIDATOR_FEE_ALLOCATION,CHAIN_TVL,LENDING_DEPOSITS,RETURNING_USERS,LP_FEE_ALLOCATION,PERP_FEES,FOUNDATION_FEE_ALLOCATION,PERP_DAU,BRIDGE_VOLUME,BUYBACKS,CHAIN_MEDIAN_TXN_FEE,L1_FEE_ALLOCATION,OWN_TOKEN_TREASURY,PERP_TXNS,TOKENIZED_MARKET_CAP,BUYBACKS_NATIVE,EQ_CASH_AND_CASH_EQUIVALENTS,EQ_OUTSTANDING_SHARES,LATEST_EV,TOKENIZED_MARKET_CAP_NET_CHANGE,LATEST_MC,LST_TVL,NET_TREASURY,STAKING_FEE_ALLOCATION,TOKEN_HOLDER_COUNT,EQ_TOTAL_DEBT,GROSS_EMISSIONS,TVL_NATIVE,WEEKLY_CONTRACTS_DEPLOYED,CHAIN_NFT_TRADING_VOLUME,LENDING_INTEREST_FEES,OTHER_FEE_ALLOCATION,BRIDGE_DAU,LATEST_EV_TO_GROSS_PROFIT,LATEST_EV_TO_SALES,LATEST_GROSS_PROFIT_ANNUALIZED,LATEST_GROSS_PROFIT_MARGIN,LATEST_NET_INCOME_ANNUALIZED,LATEST_NET_INCOME_MARGIN,LATEST_PRICE_TO_EARNINGS,LATEST_PRICE_TO_SALES,LATEST_REVENUE_ANNUALIZED,MAU,MAU_BAM,TOTAL_STAKED_NATIVE,WAU,INFLOW,OUTFLOW,P2P_NATIVE_TRANSFER_VOLUME,P2P_TOKEN_TRANSFER_VOLUME,P2P_TRANSFER_VOLUME,TOTAL_ECONOMIC_ACTIVITY,VOLUME,CHAIN_LENDING_DEPOSITS,CHAIN_LENDING_LOANS,HIGH_SLEEP_USERS,LENDING_LOAN_CAPACITY,LOW_SLEEP_USERS,SETTLEMENT_VOLUME,APPLICATION_FEES,DAU_OVER_100_BALANCE,NON_P2P_STABLECOIN_TRANSFER_VOLUME,NON_SYBIL_USERS,SYBIL_USERS,VALIDATOR_FEE_ALLOCATION_NATIVE,BURNS,COINS_MINTED,LATEST_ADJUSTED_EBITDA_ANNUALIZED,LATEST_ADJUSTED_EBITDA_MARGIN,LATEST_EV_TO_ADJUSTED_EBITDA,LATEST_PRICE_TO_ADJUSTED_EBITDA,LAUNCHPAD_DAU,LAUNCHPAD_FEES,LAUNCHPAD_TXNS,LAUNCHPAD_VOLUMES,LRT_TVL,OI_BY_VOLUME_RATIO,TOTAL_STAKED,YIELD,AVG_STABLECOIN_FEES,AVG_STABLECOIN_FEES_NATIVE,BRIDGE_TXNS,CAPITAL_EFFICIENCY,MEDIAN_STABLECOIN_FEES,MEDIAN_STABLECOIN_FEES_NATIVE,STABLECOIN_FEES,STABLECOIN_FEES_NATIVE,TRANSFER_VOLUME,AGGREGATOR_TXNS,AGGREGATOR_VOLUME,AVERAGE_TRANSACTION_VALUE,DA_DAU,LST_TVL_NET_CHANGE,NOTIONAL_VALUE,OWN_TOKEN_TREASURY_NATIVE,AGGREGATED_FDMC,APY_30DAY,APY_7DAY,AVG_COST_PER_MIB,AVG_MIB_PER_SECOND,BLOB_FEES,BLOB_SIZE_MIB,BRIDGE_FEES,LAUNCHPAD_REVENUE,LENDING_FEES,NET_TOKENIZATION,NFT_DAU,NFT_TXNS,TOKENS_GRADUATED,UTILIZATION_RATIO,YIELD_GENERATED,ACTIVE_CONTRACTS,AGGREGATOR_FEES,AUM,AVG_TXN_SIZE,BLOB_FEES_NATIVE,CUMULATIVE_ETF_FLOW,CUMULATIVE_ETF_FLOW_NATIVE,DA_TXNS,DEX_VOLUMES,GRADUATION_PERCENTAGE,LENDING_DAU,LENDING_LIQUIDATION_BONUS,LENDING_LIQUIDATIONS,LENDING_SUPPLY,LENDING_TXNS,LOCKED_SUPPLY_NATIVE,MEAN_DEPOSIT,MEAN_WITHDRAWAL,MEDIAN_DEPOSIT,MEDIAN_WITHDRAWAL,MINTS_NATIVE,NET_DEPOSITS,NET_ETF_FLOW,NET_ETF_FLOW_NATIVE,NET_SHARES_TOKENIZED,NFT_FEES,OPEN_INTEREST_WITHOUT_SPORTS,ORACLE_DAU,ORACLE_TXNS,PERP_LIQUIDATION,PRIORITY_FEES,SPOT_VOLUME_WITHOUT_SPORTS,STABLECOIN_SUPPLY,TOKENHOLDER_FEE_ALLOCATION,TOKENIZED_SHARES_TRADING_VOLUME,TVL_NET_CHANGE,YIELD_FEES
Aave,aave,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Across,acx,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerodrome,aero,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aevo,aevo,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIOZ,aioz,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akash,akt,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,apex,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster,aster,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethir,ath,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avantis,avantis,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby,baby,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backed Finance,backed-finance,App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
