name,slug,gecko_id,category
ICPSwap,icpswap,icpswap-token,Dexs
xExchange,xexchange,maiar-dex,Dexs
T RIZE,t-rize,rize,RWA
Bwatch,bwatch,b-watch-box,Indexes
Flexa,flexa,amp-token,Payments
Filecoin,filecoin,filecoin,Chain
IOTA,iota,iota,Chain
BiFi,bifi,bifi,Lending
Avantis,avantis,avantis,Derivatives
ZyFAI,zyfai,zyfi,Yield
Sui,sui,sui,Chain
Railgun,railgun,railgun,Privacy
ACryptoS,acryptos,acryptos,Liquidity manager
Indigo,indigo,indigo-dao-governance-token,CDP
Kinetic,kinetic,joule-2,Lending
SushiSwap,sushiswap,sushi,Dexs
Superfluid,superfluid,superfluid,Payments
Zircuit,zircuit,zircuit,Canonical Bridge
LumenSwap,lumenswap,lumenswap,Dexs
Chainflip,chainflip,chainflip,Dexs
Avalanche,avalanche,avalanche-2,Canonical Bridge
SwissBorg,swissborg,swissborg,CEX
Gearbox,gearbox,gearbox,Lending
Waves,waves,waves,Chain
Mansory,mansory,mansory-token,RWA
pNetwork,pnetwork,pnetwork,Bridge
Hegic,hegic,hegic,Options
Tectonic,tectonic,tectonic,Lending
Storm Trade,storm-trade,storm-trade,Derivatives
Stacks,stacks,blockstack,Chain
Hyperliquid L1,hyperliquid-l1,hyperliquid,Chain
Enzyme Finance,enzyme-finance,melon,Indexes
XDC,xdc,xdce-crowd-sale,Chain
Usual,usual,usual,RWA
Gnosis,gnosis,gnosis,Chain
EigenCloud,eigencloud,eigenlayer,Restaking
Angle,angle,angle-protocol,CDP
FlashTrade,flashtrade,flash-trade,Derivatives
Maya Protocol,maya-protocol,cacao,Cross Chain Bridge
NEAR,near,near,Canonical Bridge
Aura,aura,aura-finance,Yield
Nexus Mutual,nexus-mutual,nxm,Insurance
Doge,doge,dogecoin,Chain
dYdX,dydx,dydx-chain,Chain
Astroport,astroport,astroport-fi,Dexs
Stride,stride,stride,Liquid Staking
BlazeStake,blazestake,solblaze,Liquid Staking
Kava Lend,kava-lend,kava-lend,Lending
Bitmex,bitmex,bitmex-token,CEX
Rootstock,rootstock,rootstock,Chain
Kaia,kaia,klay-token,Chain
ICP,icp,internet-computer,Chain
Belt Finance,belt-finance,belt,Yield
Chainge Finance,chainge-finance,chainge-finance,Dexs
Berachain,berachain,berachain-bera,Chain Bribes
Reserve Protocol,reserve-protocol,reserve-rights-token,Indexes
Binance CEX,binance-cex,binancecoin,CEX
Fraxtal,fraxtal,fraxtal,Chain
Bitkub,bitkub,bitkub-coin,CEX
Paxos Gold,paxos-gold,pax-gold,RWA
