coin,exchange,pull
BTC,binance-futures,1
BTC,bybit,1
BTC,hyperliquid,1
BTC,okex-swap,1
ETH,binance-futures,1
ETH,bybit,1
ETH,hyperliquid,1
ETH,okex-swap,1
SOL,binance-futures,1
SOL,bybit,1
SOL,hyperliquid,1
SOL,okex-swap,1
XRP,binance-futures,1
XRP,bybit,1
XRP,hyperliquid,1
XRP,okex-swap,1
HYPE,binance-futures,1
HYPE,bybit,1
HYPE,hyperliquid,1
BNB,binance-futures,1
BNB,bybit,1
BNB,hyperliquid,1
BNB,okex-swap,1
DOGE,binance-futures,1
DOGE,bybit,1
DOGE,hyperliquid,1
DOGE,okex-swap,1
BCH,binance-futures,1
BCH,bybit,1
BCH,hyperliquid,1
BCH,okex-swap,1
LTC,binance-futures,1
LTC,bybit,1
LTC,hyperliquid,1
LTC,okex-swap,1
ADA,binance-futures,1
ADA,bybit,1
ADA,hyperliquid,1
ADA,okex-swap,1
SUI,binance-futures,1
SUI,bybit,1
SUI,hyperliquid,1
SUI,okex-swap,1
1000PEPE,binance-futures,1
1000PEPE,bybit,1
1000PEPE,hyperliquid,1
1000PEPE,okex-swap,1
PAXG,binance-futures,1
PAXG,bybit,1
PAXG,hyperliquid,1
LINK,binance-futures,1
LINK,bybit,1
LINK,hyperliquid,1
LINK,okex-swap,1
ASTER,binance-futures,1
ASTER,bybit,1
ASTER,hyperliquid,1
ASTER,okex-swap,1
AVAX,binance-futures,1
AVAX,bybit,1
AVAX,hyperliquid,1
AVAX,okex-swap,1
ENA,binance-futures,1
ENA,bybit,1
ENA,hyperliquid,1
TRX,binance-futures,1
TRX,bybit,1
TRX,okex-swap,1
PUMP,binance-futures,1
PUMP,bybit,1
PUMP,hyperliquid,1
UNI,binance-futures,1
UNI,bybit,1
UNI,okex-swap,1
FARTCOIN,binance-futures,1
FARTCOIN,bybit,1
FARTCOIN,hyperliquid,1
FARTCOIN,okex-swap,1
AAVE,binance-futures,1
AAVE,bybit,1
AAVE,hyperliquid,1
AAVE,okex-swap,1
RIVER,binance-futures,1
RIVER,bybit,1
NEAR,binance-futures,1
NEAR,bybit,1
NEAR,hyperliquid,1
NEAR,okex-swap,1
TRUMP,binance-futures,1
TRUMP,bybit,1
TRUMP,hyperliquid,1
TRUMP,okex-swap,1
FIL,binance-futures,1
FIL,bybit,1
FIL,hyperliquid,1
FIL,okex-swap,1
IP,binance-futures,1
IP,bybit,1
IP,hyperliquid,1
IP,okex-swap,1
APT,binance-futures,1
APT,bybit,1
APT,hyperliquid,1
APT,okex-swap,1
ICP,binance-futures,1
ICP,bybit,1
ICP,hyperliquid,1
ICP,okex-swap,1
TON,binance-futures,1
TON,bybit,1
TON,okex-swap,1
WLD,binance-futures,1
WLD,bybit,1
WLD,hyperliquid,1
WLD,okex-swap,1
ARB,binance-futures,1
ARB,bybit,1
ARB,hyperliquid,1
ARB,okex-swap,1
LIT,binance-futures,1
LIT,bybit,1
LIT,okex-swap,1
TAO,binance-futures,1
TAO,bybit,1
TAO,hyperliquid,1
DOT,binance-futures,1
DOT,bybit,1
DOT,okex-swap,1
DASH,binance-futures,1
DASH,bybit,1
ATOM,binance-futures,1
ATOM,bybit,1
ATOM,okex-swap,1
OP,binance-futures,1
OP,bybit,1
OP,okex-swap,1
ONDO,binance-futures,1
ONDO,bybit,1
ONDO,hyperliquid,1
MNT,bybit,1
MNT,hyperliquid,1
H,binance-futures,1
H,bybit,1
ETC,binance-futures,1
ETC,bybit,1
ETC,okex-swap,1
PENGU,binance-futures,1
PENGU,bybit,1
PENGU,hyperliquid,1
PENGU,okex-swap,1
ARC,binance-futures,1
ARC,bybit,1
CRV,binance-futures,1
CRV,bybit,1
CRV,hyperliquid,1
CRV,okex-swap,1
1000SHIB,binance-futures,1
1000SHIB,bybit,1
1000SHIB,okex-swap,1
HBAR,binance-futures,1
HBAR,bybit,1
HBAR,okex-swap,1
1000BONK,binance-futures,1
1000BONK,bybit,1
1000BONK,hyperliquid,1
1000BONK,okex-swap,1
VIRTUAL,binance-futures,1
VIRTUAL,bybit,1
VIRTUAL,hyperliquid,1
FHE,binance-futures,1
STRK,binance-futures,1
STRK,bybit,1
STRK,hyperliquid,1
STRK,okex-swap,1
SEI,binance-futures,1
SEI,bybit,1
TIA,binance-futures,1
TIA,bybit,1
TIA,hyperliquid,1
TIA,okex-swap,1
LDO,binance-futures,1
LDO,bybit,1
