coin,exchange,pull
0G,binance-futures,1
0G,bybit,1
0G,hyperliquid,1
0G,okex-swap,1
1000000BABYDOGE,binance-futures,1
1000000BABYDOGE,bybit,1
1000000BABYDOGE,hyperliquid,1
1000000BABYDOGE,okex-swap,1
1000000BOB,binance-futures,1
1000000BOB,bybit,1
1000000BOB,hyperliquid,1
1000000BOB,okex-swap,1
1000000MOG,binance-futures,1
1000000MOG,bybit,1
1000000MOG,hyperliquid,1
1000000MOG,okex-swap,1
10000WHY,binance-futures,1
10000WHY,bybit,1
10000WHY,hyperliquid,1
10000WHY,okex-swap,1
1000BONK,binance-futures,1
1000BONK,bybit,1
1000BONK,hyperliquid,1
1000BONK,okex-swap,1
1000BTT,binance-futures,1
1000BTT,bybit,1
1000BTT,hyperliquid,1
1000BTT,okex-swap,1
1000CAT,binance-futures,1
1000CAT,bybit,1
1000CAT,hyperliquid,1
1000CAT,okex-swap,1
1000CHEEMS,binance-futures,1
1000CHEEMS,bybit,1
1000CHEEMS,hyperliquid,1
1000CHEEMS,okex-swap,1
1000FLOKI,binance-futures,1
1000FLOKI,bybit,1
1000FLOKI,hyperliquid,1
1000FLOKI,okex-swap,1
1000LUNC,binance-futures,1
1000LUNC,bybit,1
1000LUNC,hyperliquid,1
1000LUNC,okex-swap,1
1000NEIROCTO,binance-futures,1
1000NEIROCTO,bybit,1
1000NEIROCTO,hyperliquid,1
1000NEIROCTO,okex-swap,1
1000PEPE,binance-futures,1
1000PEPE,bybit,1
1000PEPE,hyperliquid,1
1000PEPE,okex-swap,1
1000RATS,binance-futures,1
1000RATS,bybit,1
1000RATS,hyperliquid,1
1000RATS,okex-swap,1
1000SATS,binance-futures,1
1000SATS,bybit,1
1000SATS,hyperliquid,1
1000SATS,okex-swap,1
1000SHIB,binance-futures,1
1000SHIB,bybit,1
1000SHIB,hyperliquid,1
1000SHIB,okex-swap,1
1000TURBO,binance-futures,1
1000TURBO,bybit,1
1000TURBO,hyperliquid,1
1000TURBO,okex-swap,1
1000XEC,binance-futures,1
1000XEC,bybit,1
1000XEC,hyperliquid,1
1000XEC,okex-swap,1
1INCH,binance-futures,1
1INCH,bybit,1
1INCH,hyperliquid,1
1INCH,okex-swap,1
2Z,binance-futures,1
2Z,bybit,1
2Z,hyperliquid,1
2Z,okex-swap,1
4,binance-futures,1
4,bybit,1
4,hyperliquid,1
4,okex-swap,1
42,binance-futures,1
42,bybit,1
42,hyperliquid,1
42,okex-swap,1
A,binance-futures,1
A,bybit,1
A,hyperliquid,1
A,okex-swap,1
A2Z,binance-futures,1
A2Z,bybit,1
A2Z,hyperliquid,1
A2Z,okex-swap,1
AAVE,binance-futures,1
AAVE,bybit,1
AAVE,hyperliquid,1
AAVE,okex-swap,1
ACE,binance-futures,1
ACE,bybit,1
ACE,hyperliquid,1
ACE,okex-swap,1
ACH,binance-futures,1
ACH,bybit,1
ACH,hyperliquid,1
ACH,okex-swap,1
ACT,binance-futures,1
ACT,bybit,1
ACT,hyperliquid,1
ACT,okex-swap,1
ACX,binance-futures,1
ACX,bybit,1
ACX,hyperliquid,1
ACX,okex-swap,1
ADA,binance-futures,1
ADA,bybit,1
ADA,hyperliquid,1
ADA,okex-swap,1
AERGO,binance-futures,1
AERGO,bybit,1
AERGO,hyperliquid,1
AERGO,okex-swap,1
AERO,binance-futures,1
AERO,bybit,1
AERO,hyperliquid,1
AERO,okex-swap,1
AEVO,binance-futures,1
AEVO,bybit,1
AEVO,hyperliquid,1
AEVO,okex-swap,1
AGI,binance-futures,1
AGI,bybit,1
AGI,hyperliquid,1
AGI,okex-swap,1
AGLD,binance-futures,1
AGLD,bybit,1
AGLD,hyperliquid,1
AGLD,okex-swap,1
AGT,binance-futures,1
AGT,bybit,1
AGT,hyperliquid,1
AGT,okex-swap,1
AI,binance-futures,1
AI,bybit,1
AI,hyperliquid,1
AI,okex-swap,1
AIN,binance-futures,1
AIN,bybit,1
AIN,hyperliquid,1
